株式会社ジェムコ日本経営	28	経営コンサル	https://jemco.lmsg.jp/form/11854/F85CN20q	https://www.jemco.co.jp/company/profile.html/	コンサル企業で、経営戦略や人材開発などを支援企業	東京都に拠点を置くコンサル企業です。マーケティングコンサルティング事業や人材戦略コンサルティング事業などを通じて、経営戦略や人材開発などの支援を行っています。同社は1968年2月に設立され、コンサルティング、販促コンサル、組織コンサル、経営コンサルの業界で活動しています。
株式会社ＫＰＭＧ　ＦＡＳ	1177	経営コンサル	https://home.kpmg.com/xx/en/home/misc/contact.html	https://home.kpmg/jp/ja/home/about/fas.html	企業が事業再生やM&Aを支援する企業	東京都に拠点を置く企業で、2001年9月9日に設立されました。同社は、金融、コンサルティング、クレジット・決済代行、経営コンサルティングの業界において、企業の事業再生やM&Aを支援しています。また、同社の主な業務はクレジットチェック事業です。
株式会社パートナーズ・コンサルティング	67	経営コンサル	https://partners-inc.co.jp/contact/	https://partners-inc.co.jp/about/access.html	税務・会計コンサルタント企業	東京都を拠点に活動する税務・会計コンサルタント企業です。2000年6月に設立され、会計・税務アドバイザリー事業、ビジネスコンサルティング事業、税務申告書作成事業を主要な業務としています。士業、コンサルティング、税理士、会計士、財務コンサル、経営コンサルなどの分野で幅広いサービスを提供しています。
アウトルックコンサルティング株式会社	83	経営コンサル	https://www.outlook.co.jp/contact	https://www.outlook.co.jp/company/	企業経営を支援する管理会計・経営管理コンサルティング企業	東京都を拠点にする企業経営を支援する管理会計・経営管理コンサルティング企業です。2006年04月12日に設立され、会計システムコンサルティング事業、セミナー企画・運営事業、研修セミナー事業、経営コンサルティング事業、経営管理システム開発・提供事業、経営研修事業などを展開しています。主な業界はIT、人材・アウトソーシング、コンサルティング、Webアプリ・サービ
株式会社ブラボーグループ	21	経営コンサル	https://bravogroup.co.jp/contact/	https://trxtraining.jp/about/profile/	フィットネスクラブ向けプログラム・音楽提供企業	1997年4月に設立された東京都に本社を構えるフィットネスクラブ向けプログラム・音楽提供企業です。同社は営業支援サービス事業、研修セミナー事業、音楽制作事業を展開しており、広告・制作、人材・アウトソーシング、小売・販売・卸売、コンサルティング、CM制作・映像制作、セミナー、マルチメディア・楽器、経営コンサル、その他コンサルという幅広い業界にサービスを提供して
Ｇ－ＦＡＳ株式会社	20	経営コンサル	https://gcafas.com/jp/contact/	https://gcafas.com/jp/%E6%8B%A0%E7%82%B9/	M&Aアドバイザリー企業（デューデリジェンス支援）	東京都に拠点を置くM&Aアドバイザリー企業です。主な業務は、デューデリジェンスの支援を行っており、税務アドバイザリー事業および財務アドバイザリー事業にも従事しています。士業、コンサルティング、税理士、財務コンサル、経営コンサルなどの業界で活躍しています。
株式会社エム・シー・アイ	143	経営コンサル	https://www.medical-ci.co.jp/inquiry_detail/index.php	https://www.medical-ci.co.jp/company/companyinfo/	医療機器・医薬品の市場調査・コンサルティングを行う企業	2007年5月1日に東京都で設立された医療機器・医薬品の市場調査・コンサルティング企業です。同社は医療情報サービス事業、データ解析事業、市場リサーチ事業、Webマーケティング支援事業を展開しています。主な業界は医療・製薬・福祉、IT、その他サービスであり、コンサルティング、Webマーケコンサル、ITコンサル、研究・調査・リサーチ、経営コンサルなどを行っていま
株式会社あつまる	47	経営コンサル	https://atsu-maru.co.jp/contact/	https://atsu-maru.co.jp/corporate/company.php	ブライダル・医療・介護業界の人材採用をサポートするコンサルティング企業	2010年8月1日に設立され、東京都を拠点にするコンサルティング企業です。同社は、ブライダル・医療・介護業界の人材採用に特化し、Webマーケティング支援事業を行っています。主な業務は、ITコンサルティングやWebマーケコンサルなど、多岐にわたるIT関連業務および経営コンサルティングです。
グローバルセンス株式会社	59	経営コンサル	https://gb-sense.com/contact/	https://gb-sense.com/	企業がビジネスや起業のコンサルを提供している企業	2018年1月11日に東京都に設立された企業であり、広告・制作、IT、人材・アウトソーシング、コンサルティング、Webアプリ・サービス運営、Web制作、業務請負、受託開発、起業コンサル、組織コンサル、経営コンサルなどの業界で活動しています。主な事業は人材戦略コンサルティングであり、企業に対してビジネスや起業のコンサルティングを提供しています。
アーサー・ディ・リトル・ジャパン株式会社	228	経営コンサル	http://www.adlittle.jp/ja/contact-jp	https://www.adlittle.com/jp-ja	グローバル企業の経営コンサルティングを行う企業	東京都を拠点にグローバル企業の経営コンサルティングを展開しています。同社は、財務アドバイザリー事業、人材戦略コンサルティング事業、リスクマネジメントコンサルティング事業、および通信コンサル業を手がけており、コンサルティング、財務コンサル、組織コンサル、経営コンサル、およびその他コンサルの業界に所属しています。
