corporate_number	company_name	small_industry	large_industry	employee_number	contact_form	company_url	status
8010001076758	株式会社スタッフサービス	人材派遣	人材・アウトソーシング	98050	https://www.staffservice.co.jp/contact/	http://www.staffservice.co.jp/company/group_d.html	excluded_wrong_channel
5120005007271	住友生命保険相互会社	保険	金融	41307	http://www.sumitomolife.co.jp/contact/	https://www.sumitomolife.co.jp/	excluded_wrong_channel
8010401050387	三菱重工業株式会社	再生可能エネルギー	エネルギー	34645	https://www.mhi.co.jp/cgi-bin/inquiry/index.cgi?code=00024	https://www.mhi.com/jp	excluded_form_unavailable
6010001008795	三井住友海上火災保険株式会社	保険	金融	17007	http://www.ms-ins.com/contractor/contact/	https://www.ms-ins.com/company/aboutus/outline/	excluded_wrong_channel
8010501050089	ＴＯＰＰＡＮ株式会社	紙媒体印刷	広告・制作	14703	https://www.toppan.com/ja/inquiry.html	https://www.toppan.com/ja/about-us/overview.html	excluded_wrong_channel
7130001037872	ワタキューセイモア株式会社	業務請負	人材・アウトソーシング	14328	http://www.watakyu.co.jp/cgi/form/contact/	https://www.watakyu.co.jp/	excluded_required_address
9120001079055	株式会社ジェイテクト	動力装置	機械	13038	https://www.jtekt.co.jp/support/contact_maintenance_parts.html	https://www.jtekt.co.jp/company/profile.html	excluded_form_unavailable
5480001006794	日亜化学工業株式会社	化学品	材料・資源	8971	https://www.nichia.co.jp/jp/contact/inquiries.html	https://www.nichia.co.jp/jp/about_nichia/info.html	sent_2026-08-05
5010601041560	メットライフ生命保険株式会社	保険	金融	8747	https://www.metlife.co.jp/customer/contact/	https://www.metlife.co.jp/about/corporate/outline/	excluded_wrong_channel
9190001017594	株式会社スタッフブリッジ	人材派遣	人材・アウトソーシング	7592	https://www.staff-b.com/contact/	https://www.staff-b.com/office/mie/	excluded_captcha
7021001057797	ソニーセミコンダクタソリューションズ株式会社	半導体	製造	7393	https://webform.secure.force.com/form/sony_semicon1	https://www.sony-semicon.com/ja/company/about/	excluded_form_unavailable
7290001078190	株式会社ワールドスタッフィング	人材派遣	人材・アウトソーシング	6788	https://www.wsff.co.jp/inquiry_haken/	https://www.wsff.co.jp/corporate/	pending
9010401092148	ＮＸキャリアロード株式会社	人材派遣	人材・アウトソーシング	6552	https://www.careerroad.co.jp/contact	https://www.careerroad.co.jp/company	pending
7010401063729	ヤマト・スタッフ・サプライ株式会社	人材派遣	人材・アウトソーシング	6518	https://www5.webcas.net/form_m/pub/yss_entry/english02/	https://www.y-staff-supply.co.jp/company/	pending
6120001235593	パナソニックエナジー株式会社	電池	製造	6093	https://energy.panasonic.com/jp/business/inquiry/contact	https://www.panasonic.com/jp/energy/	pending
5010001146209	ＡＩＧ損害保険株式会社	保険	金融	5972	https://www.aig.co.jp/sonpo/service/contact/internet	https://www.aig.co.jp/sonpo	pending
5180001118620	株式会社コプロコンストラクション	人材派遣	人材・アウトソーシング	5464	https://www.copro-e.co.jp/contact/	https://www.copro-e.co.jp	pending
6010401024062	株式会社長谷工コミュニティ	不動産管理	不動産	5454	https://www.haseko-hcm.co.jp/contact/	https://www.haseko-hcm.co.jp/company/overview/	pending
6120001181549	株式会社アスパーク	人材派遣	人材・アウトソーシング	5363	https://www.aspark.co.jp/contact/other/index.html	https://www.aspark.co.jp/	pending
5020001090389	株式会社アルプス技研	人材派遣	人材・アウトソーシング	5354	https://www.alpsgiken.co.jp/contact/ir/index.php	https://www.alpsgiken.co.jp/corporate/office/map01.html	pending
7290001008379	総合メディカル株式会社	医療コンサル	コンサルティング	5192	https://www.sogo-medical.co.jp/contact/another/entry	https://www.sogo-medical.co.jp/	pending
9011001035372	株式会社大京アステージ	不動産管理	不動産	4935	https://mansion-kanri.daikyo-astage.co.jp/inquiry/fm/	https://www.daikyo-astage.co.jp/	pending
6120001056148	Ｓｋｙ株式会社	Webアプリ・サービス運営	IT	4756	https://www.skygroup.jp/partner/software/inquiry/	https://www.skygroup.jp/company/access/osaka.html	pending
7130001000054	村田機械株式会社	産業用ロボット	機械	4702	http://www.muratec.jp/corp/mono/inquiry.html	https://www.muratec-ccs.co.jp/corp/network/	pending
9010001045803	日鉄ソリューションズ株式会社	クラウド系/SaaS/ASPサービス	IT	4635	https://www.nssol.nssmc.com/cgi-bin/form/inquiry.pl	https://www.nssol.nipponsteel.com/corporate/overview.html	pending
8120001059628	株式会社カネカ	プラスチック製品・樹脂製品	材料・資源	4612	https://www.kaneka.co.jp/contact/	https://www.kaneka.co.jp/corporate/office/osaka.html	pending
5080001002669	株式会社静岡銀行	銀行・金庫・組合	金融	4559	http://www.shizuokabank.co.jp/personal/loan/reform/index.html	https://www.shizuokabank.co.jp/	pending
6200001013231	イビデン株式会社	電子部品	機械	4527	https://www.ibiden.co.jp/utility/public/	https://www.ibiden.co.jp/	pending
6010001107003	ＥＹストラテジー・アンド・コンサルティング株式会社	経営コンサル	コンサルティング	4334	https://reg31.smp.ne.jp/regist/is?SMPFORM=obs-lcoaq-5933033a975fa39fea644501ab03b971	https://www.eysc.jp/recruit/company/	pending
5010901023507	東邦薬品株式会社	医療機器商社	商社	4238	http://www.tohoyk.co.jp/ja/inquiry/input.html	https://www.tohoyk.co.jp/company/company-info/	pending
6180001037514	大同特殊鋼株式会社	鉄鋼	材料・資源	4193	https://www.daido.co.jp/ask/about.html	https://www.daido.co.jp/about/profile/index.html	pending
6010401088867	株式会社システナ	Webアプリ・サービス運営	IT	4165	https://www.systena.co.jp/contact/other/	https://www.systena.co.jp/about/outline.html	pending
5180001031732	株式会社トヨタエンタプライズ	不動産管理	不動産	4102	https://www.toyota-ep.co.jp/form/2	https://www.toyota-ep.co.jp/company_outline/profile/	pending
9011401005058	日東グローブシップ・カストディアル・サービス株式会社	不動産管理	不動産	3926	https://vs4.nameserver.ne.jp/nitto-cs.jp/inquiry/index.php	http://www.nitto-cs.jp/	pending
7500001003977	三浦工業株式会社	工業用機械商社	商社	3896	https://mymiura.com/contact/ir	https://www.miuraz.co.jp/	pending
9010401015273	住友金属鉱山株式会社	その他製造	製造	3827	https://reg34.smp.ne.jp/regist/is?SMPFORM=mct-lapbsc-2c1547c85d5f76f639d3d7a267d388b2	https://www.smm.co.jp/r_info/saiyo/company.html	pending
8010401006942	オリックス株式会社	事業者金融	金融	3780	http://www.orix.co.jp/grp/contact/	https://www.orix.co.jp/grp/	pending
5140001058614	グローリー株式会社	自動販売機	機械	3752	https://form.glory.co.jp/webapp/form/20383_zdeb_27/index.do	https://www.glory.co.jp/company/information/corporate/	pending
5010001055269	グローブシップ株式会社	不動産管理	不動産	3734	https://www.globeship.co.jp/contact/	https://www.globeship.co.jp/corporate/base/headoffice/	pending
5010001087238	株式会社メディセオ	医療機器商社	商社	3715	https://www.mediceo.co.jp/inquiry/input.php	https://www.mediceo.co.jp/	pending
6180001031731	豊田通商株式会社	総合商社	商社	3703	https://www.toyota-tsusho.com/inquiry/input/	https://www.toyota-tsusho.com/company/profile.html	pending
8020001114260	株式会社ツクイスタッフ	人材派遣	人材・アウトソーシング	3576	https://corp.tsukui-staff.net/contact/	https://corp.tsukui-staff.net/	pending
7011101078380	日本マニュファクチャリングサービス株式会社	人材派遣	人材・アウトソーシング	3535	https://www.n-ms.co.jp/contact.html	https://hs.n-ms.co.jp/companyinfo.html	pending
5290801010767	株式会社安川電機	電力・発電製造	機械	3509	http://www.yaskawa.co.jp/contact	https://www.yaskawa.co.jp/	pending
7020001067105	株式会社ミツトヨ	精密機器	製造	3436	https://www.mitutoyo.co.jp/contact/others/form.cgi	https://www.mitutoyo.co.jp/corporate/outline/	pending
5470001000435	株式会社穴吹ハウジングサービス	不動産管理	不動産	3303	http://www.anabuki-housing.co.jp/recruit/action/contact/entry/	https://www.h-anabuki.jp/company/	pending
9011001036346	テルウェル東日本株式会社	不動産管理	不動産	3273	https://www.telwel-east.co.jp/contact/form/	http://www.telwel-east.co.jp/	pending
9180001094156	愛知製鋼株式会社	鉄鋼	材料・資源	3248	https://www.aichi-steel.co.jp/products/product_contact/form.php	https://www.aichi-steel.co.jp/about/location/	pending
7370001009526	東洋ワーク株式会社	人材紹介	人材・アウトソーシング	3217	https://ssl.alpha-prm.jp/toyowork.jp/inquiry/	https://toyowork.co.jp/about/company	pending
9010001008768	三菱瓦斯化学株式会社	ガス・燃料製品・採掘	エネルギー	3164	http://www.mgc.co.jp/inquiry/request/	https://www.mgc.co.jp/	pending
