corporate_number	company_name	small_industry	large_industry	employee_number	contact_form	company_url	status
3010601005559	日本化学工業株式会社	化学品	材料・資源	728	https://www.nippon-chem.co.jp/ir/contact_ir.html	https://www.nippon-chem.co.jp/company/outline.html	pending_precheck
3010601025111	オルガノ株式会社	水処理機械	機械	1468	https://www.organo.co.jp/contact/input/	https://www.organo.co.jp/company/profile-2/	pending_precheck
3010601034203	株式会社前川製作所	その他機械	機械	2272	https://www.mayekawa.co.jp/ja/contact/_contact.cgi	https://www.mayekawa.co.jp/ja/about/info/	pending_precheck
3010601042726	株式会社エスピック	ITコンサル	コンサルティング	526	https://www.spic.co.jp/contactf/	https://www.spic.co.jp/company/outline/	pending_precheck
3010701006176	ＴＨＫ株式会社	金属部品	製造	4092	https://tech.thk.com/thkcomcontact/index.php?form=query_form_1.html&amp;finish=query_finish_1.html&amp;country=jp&amp;_ga=2.124681037.639460117.1513857856-673745887.1513857856	https://www.thk.com/jp/ja/company/outline/	pending_precheck
3010701007835	日本ペイント株式会社	塗料	材料・資源	618	https://www.nipponpaint.co.jp/contact/color-sample/	https://www.nipponpaint.co.jp/about/company/	pending_precheck
3010701008189	株式会社ハーモニック・ドライブ・システムズ	その他機械	機械	682	https://www.hds.co.jp/contact/index.php	https://www.hds.co.jp/company/about/	pending_precheck
3010701015631	富士石油株式会社	ガス・燃料製品・採掘	エネルギー	521	https://ssl.swcms.net/focPublic/contact/Inquiry.html	https://www.foc.co.jp/ja/corporate/profile.html	pending_precheck
3010701020177	株式会社クオラス	総合広告代理店	広告・制作	435	https://quaras.co.jp/contact/	https://quaras.co.jp/about/	pending_precheck
3011001006107	北沢産業株式会社	業務厨房機器	機械	379	http://www.kitazawasangyo.co.jp/inquiry/index.html	https://www.kitazawasangyo.co.jp/corporate/access.html	pending_precheck
3011001049510	フリュー株式会社	アミューズメント機器	機械	565	https://www.furyu.jp/contact/	https://www.furyu.jp/company/profile.html	pending_precheck
3011001103060	カルチュア・エンタテインメントグループ株式会社	映画・アニメーション	広告・制作	482	https://www.culture-ent.co.jp/contact/	https://ceg.co.jp/	pending_precheck
3011101015098	東京建物不動産販売株式会社	不動産売買・仲介	不動産	466	https://www.ttfuhan.co.jp/contact/biz_sell_satei/	https://www.ttfuhan.co.jp/company/outline/	pending_precheck
