corporate_number	company_name	email	industry	employees	subject	context	benefit	pl_impact	source_url
1010601027646	富士ソフトサービスビューロ株式会社	info@fsisb.co.jp	コールセンター	3233	【8/6無料】Claude×Salesforceで営業定型業務を自動化	コールセンター・顧客対応サービスを展開	顧客・案件・応対履歴・改善提案を横断して整理し、報告や失注分析を自動化することで、営業担当者が運用品質と追加提案へ集中できます	集計工数の削減、改善・増席需要の早期把握、継続率と案件単価の向上	https://www.fsisb.co.jp/corporate/outline.html
4010401128294	ＴＤＣＸ　Ｊａｐａｎ株式会社	japan@teledirectgroup.com	コールセンター	683	【8/6無料】Claude×Salesforceで営業定型業務を自動化	コールセンター・顧客対応サービスを展開	顧客・案件・応対履歴・改善提案を横断して整理し、報告や失注分析を自動化することで、営業担当者が運用品質と追加提案へ集中できます	集計工数の削減、改善・増席需要の早期把握、継続率と案件単価の向上	https://www.teledirectgroup.com/jp
5120001136363	ＴＥＴＲＡＰＯＴ株式会社	info@tetra-pot.com	コールセンター	448	【8/6無料】Claude×Salesforceで営業定型業務を自動化	コールセンター・顧客対応サービスを展開	顧客・案件・応対履歴・改善提案を横断して整理し、報告や失注分析を自動化することで、営業担当者が運用品質と追加提案へ集中できます	集計工数の削減、改善・増席需要の早期把握、継続率と案件単価の向上	https://www.tetra-pot.com/company/
6011701006832	株式会社不二家システムセンター	sales.info@fujiya-sc.co.jp	コールセンター	529	【8/6無料】Claude×Salesforceで営業定型業務を自動化	コールセンター・顧客対応サービスを展開	顧客・案件・応対履歴・改善提案を横断して整理し、報告や失注分析を自動化することで、営業担当者が運用品質と追加提案へ集中できます	集計工数の削減、改善・増席需要の早期把握、継続率と案件単価の向上	https://www.fujiya-sc.co.jp/company/overview.html
1012401013421	株式会社ＫＲＬ	brain-info@krgroup.co.jp	業務請負	381	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.krgroup.co.jp/info
2120101040897	関西エアポートリテールサービス株式会社	otoiawase@kaakix.co.jp	業務請負	570	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://rs.kansai-airports.co.jp/
3010001004665	株式会社宅配	eigyou@takuhai-group.co.jp	業務請負	378	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.takuhai-group.co.jp/
4010001116526	株式会社セントラルサービスシステム	info@css-ltd.co.jp	業務請負	1186	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.css-ltd.co.jp/
5010401108015	株式会社ＬＩＸＩＬ　Ａｄｖａｎｃｅｄ　Ｓｈｏｗｒｏｏｍ	las_hpinfo@lixil.com	業務請負	1249	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	http://www.lixil-as.jp
6013201000200	アクティオ株式会社	info@actio.co.jp	業務請負	1491	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.actio.co.jp/
6070001016776	株式会社両毛ビジネスサポート	rbs-sales@ryomo.co.jp	業務請負	409	【8/6無料】Claude×Salesforceで営業定型業務を自動化	企業・公共団体向けの業務受託サービスを展開	顧客・契約・拠点・業務実績を横断して整理し、定例報告や案件分析を自動化することで、営業担当者が契約更新と業務改善提案へ集中できます	管理工数の削減、更新・追加受託機会の早期発見、稼働率と案件粗利の向上	https://www.rbs.co.jp/company/profile.html
