corporate_number	company_name	middle_industry	large_industry	employees	contact_form	company_url	status
1010001009823	アース環境サービス株式会社	業務請負	人材・アウトソーシング	1699	https://www.earth-kankyo.co.jp/contact/index.php/contact/input	https://www.earth-kankyo.co.jp/	pending_browser
1010001012983	株式会社大塚商会	Webアプリ・サービス運営	IT	9198	https://mypage.otsuka-shokai.co.jp/contact?02=82_top-mypagewidget_contact	https://www.otsuka-shokai.co.jp/corporate/about/outline/	pending_browser
1010001034565	株式会社ぐるなび	Webアプリ・サービス運営	IT	858	https://ssl.gnavi.co.jp/company/contact/?page=gri	https://corporate.gnavi.co.jp/profile/outline/	sent_2026-08-05
1010001048061	株式会社センチュリーアンドカンパニー	人材派遣	人材・アウトソーシング	1712	https://www.century-and.co.jp/client/inquiry/	https://www.century-and.co.jp/company/about/	excluded_required_address
1010001089262	株式会社プレステージ・インターナショナル	業務請負	人材・アウトソーシング	4475	https://www.prestigein.com/contact/	http://www.prestigein.com/index.html	pending_browser
1010001118723	新日本コンピュータマネジメント株式会社	ITインフラストラクチャー	IT	389	https://www.scm-net.co.jp/form/	https://www.scm-net.co.jp/company/	pending_browser
1010001130091	株式会社グッドワークコミュニケーションズ	業務請負	人材・アウトソーシング	592	https://www.goodworkcoms.co.jp/contact/index.html	https://www.goodworkcoms.co.jp/about/	excluded_captcha
1010001145981	株式会社プライムアシスタンス	業務請負	人材・アウトソーシング	1121	https://prime-as.co.jp/contact.html	https://prime-as.co.jp/company/about/	pending_browser
1010001160295	株式会社ＭＪテクノロジー	人材紹介	人材・アウトソーシング	409	http://www.mjt.jp/mjt/contact/	https://mjt.jp/about/outline/	pending_browser
1010401014423	株式会社ジャパンテクニカルソフトウェア	Webアプリ・サービス運営	IT	626	https://www.jtsnet.co.jp/contact	https://www.jtsnet.co.jp/company/office/	sent_2026-08-05
1010401016618	大東建託パートナーズ株式会社	不動産管理	不動産	4980	https://inquiry-web.kentaku-partners.com/?fr=99	http://www.kentaku-partners.com/	pending_browser
1010401059022	オリックス・システム株式会社	Webアプリ・サービス運営	IT	387	https://www.orix.co.jp/grp/contact/	https://www.orix.co.jp/system/	pending_browser
1010401063016	エムスリー株式会社	Webアプリ・サービス運営	IT	787	https://www.m3.com/inquiry/corporate/form.jsp?type=m3&amp;m=m3PR	https://corporate.m3.com/corporate	pending_browser
1010401088946	エムスリーキャリア株式会社	人材紹介	人材・アウトソーシング	1586	https://www.m3career.com/contact/	https://www.m3career.com/company/company-profile/	pending_browser
1010401091677	株式会社テクノプロ・コンストラクション	人材派遣	人材・アウトソーシング	3686	https://www.technopro-construction.com/contact/	https://www.technopro-construction.com/	pending_browser
